domain-category	doc_id
News	0
News	1
News	2
News	3
News	4
News	5
News	6
News	7
News	8
News	9
News	10
News	11
News	12
News	13
News	14
News	15
News	16
News	17
News	18
News	19
News	20
News	21
News	22
News	23
News	24
News	25
News	26
News	27
News	28
News	29
News	30
News	31
News	32
News	33
News	34
News	35
News	36
News	37
News	38
News	39
News	40
News	41
News	42
News	43
News	44
News	45
News	46
News	47
News	48
News	49
News	50
News	51
News	52
News	53
News	54
News	55
News	56
News	57
News	58
News	59
News	60
News	61
News	62
News	63
News	64
News	65
News	66
News	67
News	68
News	69
News	70
News	71
News	72
News	73
News	74
News	75
News	76
News	77
News	78
News	79
News	80
News	81
News	82
News	83
News	84
News	85
News	86
News	87
News	88
News	89
News	90
News	91
News	92
News	93
News	94
News	95
News	96
News	97
News	98
News	99
News	100
News	101
News	102
News	103
News	104
News	105
News	106
News	107
News	108
News	109
News	110
News	111
News	112
News	113
News	114
News	115
News	116
News	117
News	118
News	119
News	120
News	121
News	122
News	123
News	124
News	125
News	126
News	127
News	128
News	129
News	130
News	131
News	132
News	133
News	134
News	135
News	136
News	137
News	138
News	139
News	140
News	141
News	142
News	143
News	144
News	145
News	146
News	147
News	148
News	149
News	150
News	151
News	152
News	153
News	154
News	155
News	156
News	157
News	158
News	159
News	160
News	161
News	162
News	163
News	164
News	165
News	166
News	167
News	168
News	169
News	170
News	171
News	172
News	173
News	174
News	175
News	176
News	177
News	178
News	179
News	180
News	181
News	182
News	183
News	184
News	185
News	186
News	187
News	188
News	189
News	190
News	191
News	192
News	193
News	194
News	195
News	196
News	197
News	198
News	199
News	200
News	201
News	202
News	203
News	204
News	205
News	206
News	207
News	208
News	209
News	210
News	211
News	212
News	213
News	214
News	215
News	216
News	217
News	218
News	219
News	220
News	221
News	222
News	223
News	224
News	225
News	226
News	227
News	228
News	229
News	230
News	231
News	232
News	233
News	234
News	235
News	236
News	237
News	238
News	239
News	240
News	241
News	242
News	243
News	244
News	245
News	246
News	247
News	248
News	249
News	250
News	251
News	252
News	253
News	254
News	255
News	256
News	257
News	258
News	259
News	260
News	261
News	262
News	263
News	264
News	265
News	266
News	267
News	268
News	269
News	270
News	271
News	272
News	273
News	274
News	275
News	276
News	277
News	278
News	279
News	280
News	281
News	282
News	283
News	284
News	285
News	286
News	287
News	288
News	289
News	290
News	291
News	292
News	293
News	294
News	295
News	296
News	297
News	298
News	299
News	300
News	301
News	302
News	303
News	304
News	305
News	306
News	307
News	308
News	309
News	310
News	311
News	312
News	313
News	314
News	315
News	316
News	317
News	318
News	319
News	320
News	321
News	322
News	323
News	324
News	325
News	326
News	327
News	328
News	329
News	330
News	331
News	332
News	333
News	334
News	335
News	336
News	337
News	338
News	339
News	340
News	341
News	342
News	343
News	344
News	345
News	346
News	347
News	348
News	349
News	350
News	351
News	352
News	353
News	354
News	355
News	356
News	357
News	358
News	359
News	360
News	361
News	362
News	363
News	364
News	365
News	366
News	367
News	368
News	369
News	370
News	371
News	372
News	373
News	374
News	375
News	376
News	377
News	378
